OXYGEN,SILCAT,NO2+NO3,PHSPHT,Label
31.534,93.26245,40.7809,2.9766,predicted
199.1575,1.04095,0.01505,0.05155,predicted
27.91,95.68175,41.05005,2.98055,predicted
136.4905,156.2191,36.6752,2.57515,predicted
102.6365,160.24605,38.8017,2.74505,predicted
151.2835,149.54585,35.48055,2.4639,predicted
187.4515,16.96125,14.836,1.0521,predicted
189.637,1.9225,0.86015,0.1815,predicted
53.1875,122.2521,41.18755,2.9507,predicted
71.6495,139.31155,40.50495,2.88595,predicted
18.7205,96.30675,41.5035,3.05875,predicted
102.7155,156.30265,38.56915,2.7381,predicted
200.4155,1.140425,0.31885,0.11865,predicted
195.0635,1.71485,0.0899,0.10865,predicted
86.163,151.74705,40.07375,2.8379,predicted
72.006,65.07775,35.4613,2.49605,predicted
157.602,32.5331,23.5309,1.6392,predicted
-146.0425,0.99525,0.01915,0.04285,predicted
108.6975,44.81505,28.70385,2.08215,predicted
110.1795,158.05385,38.24405,2.71415,predicted
78.0505,143.7635,40.27545,2.8542,predicted
-43.4655,136.85335,40.9699,2.92275,predicted
200.7715,6.71255,6.78235,0.5394,predicted
117.258,159.1199,37.76715,2.64915,predicted
212.3515,2.17685,0.06065,0.07965,predicted
63.299,45.62965,28.2241,2.02505,predicted
85.6375,52.4571,31.7462,2.3177,predicted
170.8805,1.8544,1.1289,0.1258,predicted
144.8395,152.30305,36.074,2.5128,predicted
103.8515,157.0483,38.90925,2.7345,predicted
88.0695,44.02695,28.69095,2.0535,predicted
14.6095,110.748,41.8086,3.02515,predicted
58.73,72.74625,36.8875,2.64905,predicted
44.6051666667,91.96625,41.20125,3.01905,predicted
-15.1875,104.18965,36.3917,2.5532,predicted
151.622,149.66045,35.7139,2.4822,predicted
-24.4159166667,110.736678333,41.49745,3.00175,predicted
111.086,158.37355,38.4611,2.71635,predicted
-192.332,109.8346,40.9335,3.0233,predicted
151.518,149.1207,35.5922,2.49005,predicted
195.99,1.01405,0.03425,0.01425,predicted
198.1385,1.73765,1.04315,0.1531,predicted
203.953,2.3652,1.319,0.1478,predicted
95.4525,154.52025,38.993,2.7402,predicted
85.6615,1.4953,0.0144,0.1205,predicted
28.9905,81.98355,39.4673,2.89845,predicted
112.658,156.81225,38.3654958333,2.69855,predicted
133.637,1.49235,0.0176,0.0604,predicted
51.6415,70.9372,36.74815,2.70125,predicted
33.1815,111.25425,41.47145,3.008,predicted
26.8165,66.90795,35.7136,2.52285,predicted
127.7935,158.5427,37.5451,2.6571,predicted
70.0385,138.5652,40.77735,2.88865,predicted
198.6325,7.7548,8.1517,0.62165,predicted
90.072,52.4487,32.01355,2.3322,predicted
191.787,3.1964,2.97545,0.2532,predicted
151.23,149.95255,35.8538,2.4901,predicted
149.7685,149.69835,35.64375,2.4887,predicted
185.245,16.67275,15.4543,1.09525,predicted
202.6875,1.72725,0.58735,0.10245,predicted
206.237,1.70345,0.0133,0.0711,predicted
38.9175,116.07415,41.64325,2.96825,predicted
216.5875,1.45045,0.00915,0.124,predicted
38.0165,105.2236,41.5862,3.0169,predicted
210.0695,1.5631,0.02,0.06405,predicted
136.247,156.2882,36.5741,2.5503,predicted
109.926,157.49055,38.28625,2.71015,predicted
25.8425,98.33365,41.187,2.9732,predicted
5.271,84.17255,39.998,2.9518,predicted
40.0865,109.225,41.39785,2.99345,predicted
170.5235,2.987,2.97295,0.2791,predicted
31.588,99.42885,42.107,3.03705,predicted
184.5585,5.5623,5.42355,0.42615,predicted
207.3655,0.7957,0.0411,0.00945,predicted
206.427,1.44545,0.02565,0.0997,predicted
172.72,20.13635,16.97765,1.2266,predicted
213.2345,2.1236,0.0348,0.0731,predicted
150.6895,149.7544,35.63015,2.48835,predicted
110.329,157.40155,38.2439,2.71485,predicted
27.116,86.1818,40.79605,2.9504,predicted
-987.008,1.9248,1.5048,0.2198,predicted
207.872,1.73265,0.2286,0.09375,predicted
40.965,106.5634,41.177,2.99325,predicted
178.067,24.50875,19.91705,1.41615,predicted
194.49,3.4094,4.4479,0.41815,predicted
22.3805,88.57655,40.2492,2.9393,predicted
194.702,1.59455,0.4045,0.0692,predicted
40.717,107.3021,41.92875,3.0657,predicted
124.471,158.5767,37.18305,2.60385,predicted
186.8705,5.8171,7.27375,0.91675,predicted
184.933,1.1473,0.0044,0.0415,predicted
80.821,145.98655,39.7654,2.82545,predicted
199.0035,3.52165,2.71385,0.2675,predicted
134.087,29.37635,24.7961,1.79225,predicted
149.3885,150.52695,35.7257,2.4937,predicted
137.2255,156.31895,36.6383,2.55145,predicted
35.52275,105.43405,41.7832,3.0338,predicted
199.207,3.3395,3.1198,0.27615,predicted
30.4615,91.0686,41.6456,3.01805,predicted
135.8195,156.7836,36.7621,2.56551,predicted
-422.829,1.881,0.0278,0.14325,predicted
9.9345,78.89385,38.43085,2.8305,predicted
147.1035,151.9256,35.94195,2.5055,predicted
71.2995,138.7307,40.52705,2.8771,predicted
180.6885,1.6432,0.00235,0.0583,predicted
-938.3275,1.2283,0.0404,0.0882,predicted
172.668,21.1023,18.4259,1.3414,predicted
211.637,1.5142,0.1878,0.0746,predicted
70.0775,138.9152,40.5545,2.904,predicted
216.9655,2.05945,0.0592,0.06335,predicted
203.852,2.88455,1.93725,0.19605,predicted
64.574,155.56585,39.02025,2.74545,predicted
160.606,4.98255,5.48165,0.48605,predicted
25.2045,122.2626,41.3478,2.99415,predicted
40.7895,110.6227,41.47745,3.01345,predicted
33.535,106.79625,41.6348,2.99845,predicted
142.411,153.9677,36.0646,2.53665,predicted
193.327,4.9319,4.92845,0.424,predicted
199.592,1.2826,0.00855,0.0739,predicted
21.1905,82.53505,40.3671,2.96845,predicted
64.761,134.11405,40.70655,2.9174,predicted
51.5005,120.4147,41.34155,2.96635,predicted
89.478,56.09295,32.63015,2.39055,predicted
214.6755,1.9753,0.0176,0.0755,predicted
89.2212083333,158.442283333,38.0198283333,2.67268083333,predicted
180.8055,4.39265,4.2819,0.36795,predicted
39.7655,104.40465,41.73715,3.0234,predicted
180.3575,1.13065,0.0243,0.04935,predicted
74.3965,148.594,35.5521,2.4733,predicted
207.377625,1.3026,0.00475,0.05145,predicted
206.988,1.7033,0.01275,0.126,predicted
28.896,90.0717,41.1942,2.94595,predicted
204.454,1.4355,0.4456,0.1253,predicted
27.9125,93.89645,41.07825,3.00745,predicted
68.5405,158.82305,37.6171,2.64835,predicted
191.393,1.73235,0.00135,0.07635,predicted
190.676,2.7953,2.32645,0.2364,predicted
203.6815,1.38665,0.07105,0.05465,predicted
-999.0,2.16655,1.45905,0.22995,predicted
85.5185,1.12245,0.3625,0.08205,predicted
70.317,138.6473,40.7022,2.91,predicted
196.739,12.25505,11.56375,0.8418,predicted
110.52,158.70385,38.3151,2.6759,predicted
192.1495,5.04405,5.01025,0.4282,predicted
186.598,17.5317,16.0632,1.141,predicted
147.1115,151.6178,35.739,2.4855,predicted
93.789,155.80865,38.90215,2.74695,predicted
150.5766,150.2403,35.439675,2.489175,predicted
151.9775,148.75825,35.6823,2.48755,predicted
162.7675,23.377,18.82575,1.3332,predicted
213.255,1.22725,0.1097,0.0666,predicted
203.855,1.81485,0.30415,0.13245,predicted
101.784,52.4577,31.3102,2.24705,predicted
76.9225,145.54445,40.2522,2.8665,predicted
151.6165,147.994,35.46485,2.46205,predicted
153.184,147.24955,35.75265,2.47835,predicted
-944.758,3.27775,2.9428,0.30425,predicted
154.93,147.46055,35.4656,2.48445,predicted
-427.379,1.6163,0.7878,0.13545,predicted
93.401,44.4142,29.2349,2.1649,predicted
206.204,1.02045,0.00205,0.07505,predicted
189.7615,1.91865,1.70545,0.17845,predicted
194.448,7.8094,5.57915,0.44145,predicted
87.0425,64.17985,34.64075,2.5035,predicted
63.845,130.42735,40.64485,2.88865,predicted
54.0455,124.4145,41.3602,2.97595,predicted
-65.096,93.7144,40.73565,2.98325,predicted
71.8645,139.71355,40.2829,2.8676,predicted
200.6275,13.2021,13.0956,0.99695,predicted
104.8525,157.8063,38.656,2.71955,predicted
93.364,152.1283,39.2226,2.78465,predicted
18.9055,125.74515,41.30025,2.96905,predicted
32.0424,100.92045,41.8035,3.018175,predicted
201.497,2.2624,1.1525,0.1592,predicted
57.9665,116.543766667,41.5238,3.0238,predicted
195.755,1.39905,0.00815,0.06755,predicted
186.7475,19.32675,16.7132,1.1936,predicted
124.0605,158.930766667,37.9169,2.6609,predicted
37.8545,107.48565,42.07085,3.03215,predicted
24.0745,92.7261,41.30175,3.0118,predicted
152.131,149.82455,35.57905,2.4913,predicted
216.107,1.5642,0.0821,0.04965,predicted
195.855,7.69465,7.8532,0.6111,predicted
193.889,1.3045,0.00805,0.0585,predicted
197.979125,1.14735,0.0053,0.05595,predicted
143.2665,152.90595,36.2152,2.5198,predicted
204.3125,1.07125,0.08525,0.02675,predicted
113.007,37.24215,25.36445,1.8384,predicted
-804.485,1.2868,0.00685,0.0975,predicted
181.351,14.0613,13.79705,1.01435,predicted
107.24,157.6013,38.64045,2.74685,predicted
209.8175,1.7484,0.14465,0.0698,predicted
104.572,157.7421,38.62415,2.7328,predicted
189.158,12.574,11.76545,0.83295,predicted
208.5595,1.78945,0.36305,0.0964,predicted
119.9365,159.2241,37.5333,2.6291,predicted
34.48225,102.49945,41.94965,3.0637,predicted
148.071,150.4697,35.86975,2.4962,predicted
85.6565,150.28815,39.9309,2.8185,predicted
195.6415,1.73295,1.27625,0.1401,predicted
41.226,78.84535,38.87755,2.8365,predicted
28.311,90.54135,40.80305,2.99465,predicted
38.5415,85.3885,41.44855,3.02885,predicted
190.599,3.265,3.24625,0.2931,predicted
203.847,1.37965,0.02105,0.0856,predicted
-51.7615,105.24755,41.3921,3.0389,predicted
-237.0115,151.85785,36.0716,2.50405,predicted
174.003,26.7382,20.4832,1.439375,predicted
75.904,143.41195,40.51165,2.8634,predicted
127.108,157.71075,37.26795,2.6073,predicted
148.2685,151.44805,35.9711,2.51075,predicted
201.685,1.8404,0.83945,0.1552,predicted
120.9785,45.5198,28.6779,2.1093,predicted
13.0635,1.431,0.0015,0.1082,predicted
49.108,121.6845,41.176,2.9716,predicted
126.1885,42.8765,27.97675,2.022,predicted
172.1535,1.8307,1.16565,0.14645,predicted
146.2005,152.733533333,36.0997125,2.514875,predicted
114.036,47.03645,29.28745,2.1144,predicted
212.3795,1.48275,0.00195,0.0828,predicted
180.3075,21.22475,17.3985,1.2407,predicted
40.139,87.95985,39.0315,2.8604,predicted
75.752,57.6415,33.3074,2.46425,predicted
88.714,151.5197,39.73665,2.8113,predicted
29.74,95.07495,40.89965,3.01285,predicted
146.902,149.01515,35.51025,2.4548,predicted
76.69,143.2306,40.3468,2.88665,predicted
121.91,149.1844,35.51415,2.47695,predicted
94.3055,155.602,39.3013,2.77235,predicted
69.157,68.8169,35.97435,2.5827,predicted
150.485,149.39725,35.52055,2.4845,predicted
102.3875,55.90855,31.45365,2.20385,predicted
192.6155,10.7188,11.40695,0.8396,predicted
34.9655,100.78015,41.64105,3.02665,predicted
-235.954,86.4389,41.0473,2.9983,predicted
25.9185,96.63595,41.1872,3.0436,predicted
145.074,153.1978,36.1761,2.52735,predicted
197.809,5.5976,5.60205,0.44145,predicted
131.165,35.8453,25.99565,1.8965,predicted
89.0985,149.858,39.5401,2.8019,predicted
86.926,150.2517,39.5996,2.82085,predicted
73.866,141.8482,40.49955,2.87985,predicted
192.769,14.677,13.1613,0.9654,predicted
88.679,151.3999,39.73065,2.821,predicted
194.48,18.33465,16.12655,1.17355,predicted
198.1115,1.24705,0.033,0.05345,predicted
61.318,131.07185,40.71615,2.91775,predicted
77.59,61.38415,34.3217,2.45405,predicted
133.657,152.56085,36.1253,2.5191,predicted
28.4015,98.451,41.05985,3.0253,predicted
202.628,3.1849,2.127,0.2028,predicted
41.0445,110.5114,41.6822,3.0285,predicted
177.227,1.92145,0.00955,0.08955,predicted
42.7668333333,86.65315,39.8604,2.9306,predicted
105.691,156.3793,38.5891,2.7306,predicted
137.54775,1.35135,0.28825,0.1111,predicted
30.05,79.28805,39.90225,2.9462,predicted
202.32925,1.11269,0.00375,0.0666,predicted
30.0305,88.3503,40.62195,2.9513,predicted
197.2025,2.68735,1.85325,0.1653,predicted
9.603,1.11785,0.0388,0.0444,predicted
-39.7135,112.20745,41.3245,2.93345,predicted
213.486,0.93995,0.0459,0.08685,predicted
110.7975,160.10775,38.4503,2.7116,predicted
207.758666667,1.6287,0.02505,0.1276,predicted
-981.2805,5.7585,5.8009,0.5138,predicted
34.732,106.54215,41.73025,3.00805,predicted
66.2505,134.9383,41.1558,2.91895,predicted
136.504,151.1645,35.8662,2.4978,predicted
47.982,76.10235,38.03885,2.79715,predicted
63.235375,1.63655,0.0089,0.07305,predicted
151.4195,150.37155,35.8791,2.48875,predicted
184.121,2.60815,1.99465,0.2153,predicted
204.0745,1.224,0.003,0.072,predicted
198.7975,1.0864,0.0032,0.05605,predicted
-908.351,1.239,0.03585,0.09555,predicted
35.631,97.2934,41.7492,3.0613,predicted
132.629,3.64695,4.2579,0.4085,predicted
146.3015,151.78655,36.228795,2.5044,predicted
-1.4175,135.1126,40.98295,2.91995,predicted
194.490833333,8.49739166667,8.822875,0.6668,predicted
85.133,150.90555,39.74475,2.8286,predicted
170.5035,25.5095375,19.832,1.4809,predicted
211.941,1.38285,0.0029,0.115,predicted
125.1895,158.919,37.48345,2.6363,predicted
197.973,4.88355,4.4684,0.3708,predicted
98.461,58.15885,32.62555,2.31445,predicted
201.6755,3.6805,3.1053,0.27555,predicted
115.9935,42.97375,28.6002,2.0855,predicted
204.4315,1.03715,0.03405,0.0542,predicted
112.139,159.8324,38.14175,2.64875,predicted
97.077,155.5063,38.93405,2.7737,predicted
117.966,158.92605,37.8887,2.6494,predicted
144.7365,152.4125,36.1079,2.5195,predicted
56.425,126.1128,41.24555,2.9838,predicted
102.4765,158.1044,38.71295,2.73495,predicted
144.416,149.8234,35.34565,2.45185,predicted
107.9155,1.4682,0.0352,0.1017,predicted
27.868,96.8157,41.61285,3.00605,predicted
41.71,58.36615,34.78735,2.58635,predicted
93.584,155.08925,39.33565,2.76825,predicted
184.237,1.2748,0.2043,0.08825,predicted
113.1675,157.9453,38.09785,2.68645,predicted
